Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Class
MQ,3190,LAX,SJC,2,510,75,1
MQ,3080,LAX,SBA,6,810,40,0
OO,4472,ORD,MSP,6,1080,85,0
9E,4212,LAN,DTW,1,495,60,0
XE,5903,ORD,FAR,7,1205,113,0
B6,459,BOS,FLL,7,1185,201,0
DL,1551,MSP,LAS,1,1025,206,0
MQ,4275,MSN,ORD,5,360,55,0
WN,1404,PHL,TPA,5,475,180,0
B6,489,BOS,LGB,7,1075,390,1
US,1123,ALB,CLT,7,490,144,0
OO,4748,SLC,BTM,2,1305,95,1
F9,452,MKE,LGA,1,1199,135,1
DL,1639,DCA,ATL,6,840,120,1
DL,1914,BOI,SLC,5,920,65,1
WN,1370,OAK,BUR,3,970,65,1
AA,2454,DFW,SAT,3,1355,60,0
XE,5902,PIA,ORD,3,362,63,0
UA,350,ORD,RIC,4,792,119,0
DL,1171,PIT,ATL,6,1046,127,0
YV,2749,SAT,PHX,5,900,147,0
AA,815,AUS,DFW,5,785,65,1
DL,2309,ATL,DAY,5,1315,102,0
WN,1235,BWI,ABQ,5,770,280,0
AA,1657,JFK,MIA,3,965,210,1
DL,1310,IND,DTW,5,1043,87,0
DL,2357,MSP,ABQ,1,1050,159,1
WN,1297,BUR,PHX,3,480,80,0
F9,383,FLL,DEN,3,460,268,1
UA,587,SFO,SNA,2,1087,93,0
DL,1199,ATL,STL,4,920,107,0
CO,609,CLE,SFO,1,1255,337,1
UA,691,LGA,ORD,2,1081,163,1
AA,372,SJU,TPA,2,1245,180,0
AA,2493,BDL,DFW,2,1055,255,1
CO,1457,CLE,SEA,1,535,312,1
DL,1650,ATL,BUF,4,535,134,0
CO,250,IAH,RDU,2,1150,156,1
FL,1226,PIT,FLL,1,1100,165,1
UA,671,PHX,SFO,5,360,138,0
EV,5386,MEM,CLT,6,515,100,0
UA,301,DEN,LAS,1,690,122,0
9E,4189,MSP,GFK,7,915,78,1
OO,4641,SLC,FAT,2,1207,103,1
FL,186,ATL,DCA,2,620,105,0
OO,6471,BFL,SFO,6,1021,76,1
WN,2968,PHX,SAN,5,1130,65,1
B6,1710,MCO,DCA,2,1130,116,1
WN,1607,MSY,DEN,6,1020,180,1
AA,1642,STL,DCA,1,740,110,0
9E,3987,TYS,MEM,4,480,89,0
MQ,3084,SAN,LAX,2,525,50,1
DL,1162,BNA,ATL,2,389,91,0
YV,2841,PHX,YUM,2,585,79,0
DL,1857,SLC,SEA,4,506,137,0
WN,1099,STL,SDF,7,1080,55,1
AS,60,KTN,SEA,3,555,116,0
US,1042,TPA,PHL,1,855,149,0
9E,4297,BNA,DTW,3,515,115,1
B6,65,ROC,JFK,7,939,81,0
WN,3110,CLE,MDW,4,580,80,0
XE,3052,CRP,IAH,1,710,62,0
MQ,2802,TYR,DFW,6,655,50,0
FL,1621,PHL,MCO,6,425,163,0
HA,173,HNL,LIH,4,783,38,0
US,1256,JAX,DCA,5,870,100,0
OO,6473,IPL,LAX,5,865,65,0
US,1015,IAH,CLT,4,615,142,0
EV,7066,ORD,GSO,4,715,102,1
CO,608,PDX,IAH,1,740,235,1
US,2139,BOS,LGA,4,1080,81,0
MQ,4327,TVC,MQT,5,1255,45,0
AA,398,ORD,LGA,3,370,120,1
OH,6435,DCA,CVG,1,650,101,0
DL,1222,SLC,ATL,1,1025,214,0
XE,2138,CLE,BOS,4,519,104,0
DL,2702,MCO,CVG,2,735,135,0
CO,1059,DCA,IAH,1,835,210,0
WN,8,HOU,DAL,2,480,55,1
OH,6677,CMH,DCA,4,1045,77,0
UA,581,DEN,IAD,5,519,193,0
WN,1481,BNA,DEN,1,365,185,1
9E,4005,ATL,TUL,3,960,130,0
B6,278,SFO,FLL,2,1375,308,1
XE,2442,IAH,LFT,1,945,54,0
UA,836,ORD,BOS,6,1160,136,0
WN,770,BWI,ALB,1,665,70,1
XE,2439,ALB,CLE,1,610,89,0
EV,5164,ATL,CAE,3,1077,63,0
DL,349,ATL,TLH,1,1150,68,1
DL,2120,ORD,DTW,3,420,90,0
DL,2060,ATL,COS,5,1130,195,0
OO,6928,FAR,DEN,2,1187,122,1
EV,7325,ATL,BHM,3,1050,57,1
DL,1248,ATL,PIT,5,585,107,0
MQ,3307,DFW,CRP,6,390,80,1
MQ,3815,ORD,DEN,3,485,160,0
YV,7264,ORD,CHS,3,860,122,1
AA,2,LAX,JFK,2,560,332,1
WN,2423,SEA,SMF,7,1150,105,1
EV,5431,MGM,MEM,7,695,73,1
AS,182,FAI,ANC,2,480,63,0
WN,1361,LAX,SFO,4,980,75,1
OO,6528,LAX,PHX,3,1020,79,0
FL,430,ATL,MKE,5,1077,126,1
B6,1219,BOS,BUF,3,1230,89,1
DL,1789,ATL,MCI,3,1315,147,1
9E,4194,MSP,BMI,7,605,90,0
MQ,4128,MDT,ORD,7,770,135,1
WN,1757,FLL,DEN,3,510,280,1
WN,1679,BOS,STL,4,1025,195,1
DL,2836,HNL,MSP,4,1120,465,1
FL,398,SEA,ATL,2,1439,305,1
XE,3079,CLE,STL,1,1005,98,0
DL,1244,HOU,ATL,3,375,130,0
YV,2901,CHS,CLT,7,660,69,1
DL,2480,SEA,DTW,3,360,253,0
AA,1747,DCA,DFW,1,835,220,0
WN,1255,LAS,SAT,5,960,155,1
DL,1259,PIT,ATL,5,875,123,0
AA,1639,JFK,SJU,4,1230,230,1
AA,2465,BOS,DFW,1,805,265,1
WN,2397,DAL,AUS,3,805,50,1
MQ,4419,RDU,DCA,3,370,65,0
AA,1718,ORD,BOS,5,510,130,0
WN,3131,MDW,LGA,6,1070,125,0
MQ,3135,SJC,LAX,7,1195,75,0
UA,354,SAN,DEN,3,908,144,0
CO,1130,DFW,EWR,3,435,198,0
WN,431,MHT,PHX,4,775,360,0
US,69,BOS,LAS,6,1080,365,1
DL,2788,MSP,MKE,6,435,71,0
B6,120,MSY,JFK,6,1089,169,0
AA,519,ORD,LAX,3,1020,260,0
AA,144,LAX,IAD,6,865,290,0
OO,4699,MSN,MSP,2,540,66,0
EV,5306,MEM,SHV,4,880,74,0
OH,6402,JFK,BOS,1,495,88,1
DL,61,JFK,ATL,2,1005,170,0
EV,5401,ATL,ICT,3,1165,151,0
9E,4188,ATL,ROC,7,1065,124,1
WN,140,DEN,SJC,7,565,165,0
MQ,4301,ORD,OKC,3,740,135,0
EV,4960,BOS,CVG,5,773,144,0
HA,373,HNL,LIH,7,847,38,1
WN,758,LIT,MDW,1,460,100,0
EV,5422,DTW,MSN,2,920,84,1
9E,3929,AZO,MSP,1,445,106,1
US,657,PHL,SFO,5,460,384,1
MQ,4138,PIT,ORD,2,1180,105,0
AA,2431,LAX,LAS,1,870,70,0
WN,2786,BOI,OAK,4,560,100,0
UA,48,CMH,ORD,2,425,84,0
WN,3654,SAT,HOU,5,820,50,1
OO,6464,DEN,BZN,1,677,113,0
B6,184,SAN,JFK,3,761,319,0
AA,1545,DFW,TUS,4,935,145,1
DL,2781,IND,MSP,4,730,115,1
UA,330,SAN,ORD,5,544,241,1
B6,471,BOS,SJC,4,985,398,0
AA,554,SFO,ORD,1,855,260,0
WN,2119,SNA,SMF,1,885,90,0
OO,6718,DEN,XNA,1,608,102,1
EV,4973,FAY,ATL,6,510,97,0
WN,1622,LAS,BUF,7,985,260,1
AA,1495,DFW,SMF,7,590,225,0
WN,2413,HOU,OAK,6,1015,260,1
FL,1596,TPA,GPT,7,1007,95,1
WN,414,LAS,SMF,7,1065,90,1
9E,4121,DSM,MEM,7,360,103,0
OH,6278,XNA,CVG,3,680,109,0
AA,2325,ORD,DFW,4,760,150,1
OH,6527,JFK,ROC,6,525,102,1
UA,326,IAD,DFW,6,506,223,0
EV,5316,CSG,ATL,4,360,44,0
WN,3425,PHX,ELP,7,900,65,1
MQ,4160,CMH,ORD,4,565,90,0
US,1656,CLT,PBI,5,564,106,1
DL,67,ATL,TPA,7,990,90,1
WN,3122,DEN,ABQ,6,1075,75,0
DL,2181,MSP,SMF,2,555,243,1
B6,141,JFK,RSW,6,1215,193,0
EV,5310,AGS,ATL,6,813,67,0
DL,1237,RIC,ATL,2,890,110,1
AS,346,SEA,OAK,7,1045,122,1
OO,4541,SLC,TUS,6,597,110,0
OO,6473,IPL,LAX,3,865,65,0
WN,2763,SNA,SJC,6,895,75,1
DL,2041,SLC,LAX,4,1320,124,1
DL,2038,ATL,DCA,3,920,105,1
B6,418,PBI,BOS,1,420,172,0
OO,4805,SLC,BOI,6,820,70,1
US,6,ORD,PHX,4,840,227,1
AA,1054,MIA,DCA,3,480,140,0
9E,3934,MEM,PIT,1,505,120,0
EV,7097,IAD,JFK,6,747,80,0
MQ,4514,DCA,BNA,3,895,120,1
B6,1014,JFK,BOS,1,899,81,1
CO,47,IAH,LAX,7,1150,230,1
DL,2224,ATL,BWI,1,585,122,1
FL,133,ATL,TPA,6,530,75,1
DL,2605,MSP,SFO,6,1045,245,0
YV,2860,FLG,PHX,2,966,64,0
UA,83,LAX,HNL,2,901,353,0
DL,2183,MSY,LGA,2,690,167,0
WN,2798,SJC,PHX,2,985,110,1
UA,116,LAX,ORD,6,774,250,0
XE,2696,DAY,CLE,4,365,54,0
US,2130,LGA,BOS,2,840,66,0
XE,2162,IAH,TUL,1,970,84,0
DL,1084,ANC,MSP,1,360,328,0
WN,347,DEN,STL,7,690,120,0
MQ,4371,OMA,ORD,1,800,95,1
B6,1422,LGB,PDX,5,680,143,0
DL,1409,MSP,DEN,3,810,129,0
UA,249,IAD,ORD,2,1033,139,1
OO,4441,SLC,FCA,5,602,107,0
UA,189,ORD,SAN,3,507,259,1
DL,1521,DTW,TPA,4,1045,162,1
WN,2206,SMF,PHX,4,1000,110,0
OO,6583,COS,DEN,1,600,49,0
CO,1618,EWR,TPA,3,890,177,1
OO,4780,SLC,GTF,3,1207,85,0
AA,1599,DAY,DFW,7,430,175,0
MQ,4154,CMH,ORD,5,435,85,0
WN,1083,SJC,LAS,5,635,80,1
AS,42,BET,ANC,6,543,68,1
WN,1103,LAS,PDX,3,530,140,1
WN,910,BHM,DAL,2,1115,115,0
AA,2287,DFW,EGE,1,730,140,0
FL,1742,PIT,MCO,5,744,131,1
DL,2868,SEA,ATL,4,1375,274,0
WN,2254,TUL,DAL,7,555,60,0
9E,4245,DTW,IAD,3,1040,95,1
DL,2272,TPA,ATL,4,510,100,1
F9,854,PHX,DEN,5,655,104,1
AS,153,ANC,OTZ,4,1035,93,1
US,373,CLT,DFW,6,1331,163,1
WN,1105,LAS,MDW,5,370,215,0
CO,1501,EWR,FLL,5,1145,189,1
WN,1989,BNA,BWI,5,810,95,1
EV,5498,ATL,FAY,2,884,75,0
WN,1077,MDW,MCI,5,850,90,1
CO,1069,LAS,EWR,4,900,292,0
AS,22,SEA,ORD,3,765,245,1
DL,1475,JFK,ATL,1,490,162,1
MQ,4292,ROC,ORD,2,1155,130,1
B6,59,JFK,MCO,7,899,179,0
US,528,BOS,PHX,7,980,353,0
UA,600,ORD,DCA,1,365,111,0
XE,2222,STL,IAH,1,880,122,0
CO,1546,IAH,ORD,4,1135,159,1
UA,72,HNL,SFO,4,469,320,0
OO,6444,LAX,SMX,1,783,56,1
B6,1056,PIT,JFK,7,1066,104,0
FL,278,ATL,BOS,7,984,146,0
OO,6908,SFO,RNO,2,618,55,0
MQ,2771,DFW,VPS,4,930,110,1
OH,6588,DTW,CAE,3,615,116,0
AS,668,SEA,AUS,4,695,228,1
CO,458,IAH,DCA,5,775,165,1
AA,1649,DFW,ONT,7,795,190,1
9E,3967,JFK,ALB,3,1310,95,0
WN,1558,MDW,BOS,7,525,135,0
US,1663,PVD,CLT,4,1020,134,0
FL,751,BWI,HSV,4,1210,116,0
OO,6404,SFO,EUG,6,515,92,1
CO,1406,FLL,IAH,2,540,170,1
WN,1003,HOU,ABQ,2,1035,135,0
9E,3695,MQT,MSP,4,770,80,0
EV,5316,CSG,ATL,7,360,44,0
US,1762,MSP,PHL,4,785,149,0
OH,6585,DTW,IAD,3,1295,98,0
DL,1005,ATL,DTW,6,495,125,1
UA,842,ORD,LAX,7,486,277,0
AA,1907,DCA,MIA,7,430,165,0
DL,1702,LAS,ATL,6,420,225,0
DL,1054,MSP,ATL,3,1030,158,0
FL,470,ATL,BWI,5,1260,109,0
UA,260,IAD,MCO,1,1315,140,1
OO,4502,SLC,DEN,4,1020,85,0
EV,7066,CAE,ORD,4,1012,128,0
EV,7119,IAD,PWM,3,737,92,1
EV,5506,MGM,ATL,7,947,67,0
EV,5337,ATL,DHN,4,815,56,0
WN,653,OAK,LAX,7,415,75,1
MQ,3977,ORD,CID,2,580,65,1
MQ,2980,CSG,DFW,5,425,150,1
B6,1790,DCA,BOS,2,390,85,0
FL,844,MCO,ATL,1,928,93,0
AA,890,SAT,DFW,6,575,65,0
UA,214,IAH,ORD,3,392,153,0
CO,787,EWR,SNA,2,1020,376,1
UA,321,ORD,SAN,5,1030,270,0
AA,1002,DFW,STL,6,600,95,0
UA,695,LGA,ORD,2,1204,165,1
WN,3516,MCI,DAL,7,830,90,1
WN,40,CMH,BWI,4,490,70,0
WN,1285,ISP,MCO,2,1065,170,0
CO,5,IAH,MSY,4,1110,69,1
B6,362,PBI,LGA,2,678,162,1
DL,2588,RSW,LGA,1,420,165,0
9E,3652,DTW,LAN,3,935,48,0
XE,2139,BOS,CLE,5,649,120,1
AA,1377,ORD,SEA,4,1265,260,1
DL,1871,SLC,PHX,4,520,102,1
US,1937,PHL,PBI,3,605,175,1
EV,5120,ATL,TYS,4,448,59,0
XE,2470,IAH,MSP,4,479,168,0
YV,1048,HNL,ITO,3,510,49,0
XE,2992,IAH,MEM,5,855,85,0
UA,316,DEN,IAD,7,761,195,0
DL,208,MIA,JFK,3,750,179,1
WN,830,BNA,TPA,1,695,105,1
AA,2465,DFW,LAX,5,1070,205,1
MQ,3131,LAX,SJC,6,1095,75,1
AA,1286,DFW,RIC,3,1095,160,0
MQ,2832,PNS,DFW,7,945,125,1
US,720,MIA,CLT,7,890,123,0
OO,4858,SLC,BZN,3,920,77,0
F9,834,SEA,DEN,2,893,152,1
YV,2881,SBP,PHX,1,750,95,1
MQ,4315,CLE,ORD,6,790,95,0
EV,5491,OAJ,ATL,6,360,104,0
AA,222,LAX,BOS,2,445,320,0
CO,700,FLL,EWR,1,653,171,0
AA,1823,ORD,PBI,5,405,175,1
UA,902,DEN,IAD,2,645,197,1
WN,998,LAX,OAK,4,480,80,0
B6,30,JFK,ROC,2,1350,81,0
YV,7278,JAX,ORD,2,700,156,0
XE,2914,MCI,EWR,7,1073,163,0
FL,738,MSP,MKE,7,360,74,0
MQ,4436,DCA,JFK,3,595,65,0
DL,2298,SRQ,ATL,5,420,105,0
UA,533,IAD,DEN,2,1311,248,0
US,1576,CLT,EWR,5,680,106,1
B6,52,MCO,JFK,3,360,141,0
HA,323,HNL,LIH,3,1306,36,0
OH,6384,CVG,LGA,7,675,120,0
DL,2419,MSP,SJC,4,1045,252,1
MQ,2799,DFW,TXK,6,930,50,0
AA,285,LAX,LIH,7,985,355,0
WN,378,BDL,BWI,3,590,70,0
XE,3030,CRP,IAH,7,390,57,0
DL,2552,TPA,LGA,5,1139,163,0
CO,90,LAX,EWR,3,765,321,1
MQ,4318,ORD,BWI,7,845,115,0
WN,1152,SNA,OAK,4,1110,80,1
XE,2529,EWR,BTV,7,455,79,0
FL,109,ATL,DFW,5,1335,142,1
WN,1089,PHX,LAS,4,600,70,1
US,1092,PHL,RDU,4,570,86,0
CO,1527,BWI,IAH,3,890,212,0
OO,4847,RST,MSP,7,450,52,1
AA,1632,DFW,OMA,7,945,105,1
9E,4156,MEM,MKE,3,865,108,0
FL,331,PHL,ATL,5,355,140,0
UA,291,IAD,SMF,2,1056,351,1
MQ,2969,DFW,ABI,4,1255,50,0
US,772,CLT,IND,6,1067,96,0
DL,1716,DEN,ATL,5,525,178,0
DL,1483,SLC,LAS,2,505,94,0
YV,2899,GJT,PHX,5,480,137,0
9E,3975,GFK,MSP,3,305,68,0
CO,687,MCO,IAH,4,885,155,1
UA,572,DEN,OMA,7,1223,87,0
CO,810,IAH,EWR,5,790,210,1
CO,438,EWR,MIA,1,760,182,0
YV,7295,ORD,SBN,4,902,39,1
9E,4252,DTW,SCE,4,1310,84,1
UA,717,DEN,LAS,1,958,122,0
MQ,3647,MIA,JAX,4,1050,75,0
OO,6589,LAX,TUS,5,1212,80,0
US,128,SJC,PHX,1,965,107,1
XE,2023,PIT,IAH,4,689,201,1
WN,1589,BWI,MCI,4,750,175,0
WN,1015,PHX,MDW,4,1150,200,1
XE,2274,IAH,MCI,5,880,116,1
DL,2915,ATL,PHX,6,520,270,0
OO,6531,SBP,SFO,2,1259,61,0
OH,6280,CVG,PIT,2,680,71,0
YV,7238,CLT,IAD,6,1189,76,0
EV,5030,ATL,AGS,1,910,55,1
XE,3067,PVD,EWR,6,386,62,0
OO,6980,PDX,EUG,6,921,36,1
XE,2985,EWR,DTW,5,1260,124,1
DL,2547,LGA,ATL,2,1020,164,0
DL,1242,ATL,SRQ,3,665,99,1
9E,4302,CLE,DTW,4,720,63,0
B6,1790,DCA,BOS,4,390,85,0
EV,7104,IAD,CAE,7,1314,81,1
DL,2346,PDX,ATL,2,380,275,0
OH,6516,MSP,JFK,1,425,165,0
DL,1436,DTW,BWI,7,1050,93,0
EV,5117,FAY,ATL,4,642,89,0
DL,1589,DTW,BNA,3,745,105,0
AA,2022,SJU,ORD,7,510,305,0
WN,547,BWI,PBI,3,845,150,1
FL,366,ATL,LGA,2,797,121,1
OO,4750,SLC,HLN,5,1201,79,1
MQ,2877,DFW,GSO,3,1205,145,1
DL,1526,FLL,ATL,4,1200,118,0
MQ,2759,DFW,CRP,2,870,80,1
DL,1142,PBI,LGA,4,1150,172,0
OO,4541,SLC,TUS,4,597,110,1
AA,1952,DFW,MCO,3,925,145,0
EV,7079,IAD,CAE,1,745,87,1
FL,461,BWI,ATL,7,360,126,0
AA,2200,LAS,DFW,3,850,165,0
US,1776,CLT,BOS,3,1192,123,1
YV,1011,KOA,HNL,5,505,40,0
UA,685,LGA,ORD,3,900,154,1
MQ,3703,ORD,ATL,3,1060,125,1
CO,268,EWR,LAS,1,1095,351,1
WN,858,MDW,LAS,3,1255,250,1
AA,2059,DFW,SLC,4,1255,170,1
WN,115,DEN,SLC,3,915,90,1
EV,5363,ATL,ECP,1,1290,64,1
OO,6982,DEN,CPR,3,492,57,1
F9,191,DEN,DAY,4,645,155,1
WN,2033,MCO,CMH,5,1130,135,1
9E,3822,MDT,DTW,2,715,103,1
WN,978,MDW,SFO,1,790,300,1
DL,2300,ATL,BOS,6,975,151,0
UA,26,LAX,JFK,3,708,333,0
AA,1210,ORD,BOS,4,725,125,1
MQ,3033,LAX,SBA,3,630,40,0
9E,4011,LEX,MEM,4,1060,84,1
AA,597,ORD,SAT,7,1120,180,0
WN,497,PVD,BWI,7,650,80,0
B6,337,IAD,MCO,2,1250,133,0
WN,1263,LBB,DAL,5,600,65,0
OO,4816,SLC,DEN,4,920,88,1
B6,277,FLL,SFO,3,1022,380,1
EV,5295,VLD,ATL,3,1078,74,0
AA,1216,DFW,TPA,1,620,140,0
9E,3706,LEX,DTW,4,675,88,1
CO,304,EWR,PDX,4,405,379,1
XE,2183,IND,IAH,4,555,159,0
XE,2154,LBB,IAH,2,790,92,0
AA,689,DFW,SLC,5,600,170,0
WN,1686,MHT,PHL,1,750,100,0
DL,2150,SEA,SLC,2,623,113,0
US,638,DFW,PHX,3,735,162,0
OH,6426,OMA,LGA,7,420,194,0
WN,3094,SFO,LAS,6,870,95,1
OO,4817,SLC,ORD,2,520,195,1
WN,1353,BUF,MDW,3,440,115,1
AA,728,DFW,LGA,5,755,200,1
XE,2975,MCI,IAH,5,439,130,0
UA,27,JFK,LAX,5,930,383,0
WN,1334,MDW,SMF,7,530,285,0
DL,2712,ATL,ORD,3,1155,137,0
9E,4391,MBS,DTW,6,345,56,0
OO,4464,SLC,BZN,4,1195,83,1
WN,1172,MSP,PHX,2,960,210,1
YV,2924,AUS,PHX,4,375,148,0
XE,5891,ORD,TYS,1,1143,90,1
WN,411,DEN,AUS,4,1195,125,1
DL,1417,ATL,DEN,7,1045,207,1
WN,3232,PVD,BWI,5,755,80,1
OO,7026,FAT,LAX,3,909,71,1
OO,6328,TUS,DEN,3,529,120,0
DL,2030,MEM,SAT,3,1180,125,1
FL,1400,ROC,MCO,3,792,173,1
WN,947,MSY,BNA,4,385,85,0
YV,7292,ORD,CHS,3,1135,121,1
OO,3061,STL,MKE,3,1083,72,1
AA,1685,DFW,ELP,3,985,100,0
YV,2828,PHX,AUS,3,1360,126,1
AA,1887,DFW,LAS,5,395,175,0
WN,1584,BUF,BWI,4,1040,70,1
DL,1893,DTW,ATL,7,535,134,1
WN,999,PHX,MDW,7,695,205,1
EV,5239,ATL,ROA,2,970,83,0
DL,1270,STL,ATL,2,530,95,0
MQ,4146,JFK,CMH,1,895,125,0
OO,4674,BUR,SLC,5,995,108,1
WN,47,DAL,HOU,5,1080,65,1
WN,3091,OKC,PHX,7,575,155,0
9E,4135,BTV,DTW,4,355,129,1
FL,429,PNS,ATL,2,360,75,0
AA,1872,ORD,MCO,4,590,160,1
MQ,2807,DFW,FWA,2,1095,130,0
DL,158,DTW,LGA,5,1185,115,1
YV,7283,ORD,DAY,1,786,70,0
OH,6255,CVG,DTW,1,710,85,0
UA,886,SFO,LAS,7,791,104,1
WN,2287,PHL,RDU,3,1145,85,1
EV,5540,ATL,SHV,7,650,112,0
MQ,4244,DSM,ORD,2,540,80,0
DL,1821,MSP,MCO,4,790,190,1
OO,4789,LAX,SAN,6,1120,47,1
UA,311,DEN,EGE,4,677,52,1
MQ,3236,GRK,DFW,3,715,50,0
OO,6474,LAX,ABQ,3,918,105,1
YV,7247,IAD,ATL,5,737,116,0
OO,4643,IAH,SLC,2,400,210,1
AS,564,PDX,LAX,3,700,140,0
MQ,4178,ORD,CMI,1,1180,55,1
AA,117,JFK,LAX,1,825,370,1
AA,2353,ORD,DFW,1,1180,150,0
OH,6273,DCA,CMH,4,1250,89,0
DL,2168,MSP,BDL,4,1150,157,0
UA,192,SNA,ORD,4,838,237,0
XE,5953,ORD,MCI,5,1230,90,0
UA,393,BDL,ORD,7,528,161,0
AA,1093,EWR,DFW,4,450,250,0
WN,894,BWI,MHT,1,935,75,1
WN,824,FLL,PHL,7,535,170,0
CO,697,IAH,LAS,6,875,210,1
CO,1758,IAH,DCA,7,1060,165,1
AS,731,SEA,ANC,6,1320,215,0
OO,6952,MTJ,DEN,7,631,63,1
AA,1700,IAH,MIA,5,620,140,1
WN,390,MCO,BHM,6,930,95,0
AS,660,SEA,DFW,3,420,230,0
OH,6501,STL,DCA,1,420,123,1
YV,2835,PHX,AUS,5,1199,134,0
US,94,PHX,PDX,1,1280,166,0
XE,2297,MKE,CLE,1,505,72,1
DL,466,MSY,ATL,7,825,90,1
UA,193,SFO,OGG,2,1015,335,0
WN,1769,BNA,MCI,3,500,105,1
DL,2806,MSP,DCA,4,786,141,0
CO,1853,CLE,RSW,3,510,170,0
B6,521,EWR,MCO,3,420,170,0
9E,4035,MKE,CVG,4,1035,81,0
EV,4970,OMA,ATL,7,408,142,0
AA,1782,MCO,JFK,5,1180,155,1
DL,2640,LAS,SLC,6,995,81,0
AA,323,BNA,DFW,4,430,135,0
AA,1348,BOS,MIA,2,850,215,1
FL,1103,RSW,CMH,7,639,139,1
AA,1300,DFW,MEM,6,1210,80,0
WN,824,PIT,PHX,5,835,300,0
WN,2545,DEN,OAK,3,1300,165,1
UA,289,SFO,SAN,1,1206,90,1
US,46,BUR,PHX,2,745,85,0
AA,1858,ELP,DFW,7,1070,100,1
DL,1117,DTW,LAS,4,1295,267,0
XE,2699,EWR,BWI,5,914,67,0
UA,740,DEN,MSY,3,606,160,0
AA,1237,PHX,DFW,7,485,135,0
FL,649,GRR,BWI,1,365,90,0
XE,2026,IAH,STL,1,455,123,0
DL,1110,IND,DTW,3,479,81,0
WN,643,BOI,SEA,2,565,90,0
WN,3320,BNA,BWI,7,1145,100,1
YV,2657,CLE,CLT,1,1248,97,0
AA,1352,AUS,DFW,6,420,65,0
AA,333,LGA,ORD,5,840,165,0
DL,1961,PHL,ATL,4,990,148,1
AA,2021,ORD,SJU,4,920,275,1
OO,6347,BZN,DEN,3,622,98,0
9E,4103,ROC,ATL,2,1053,145,1
MQ,4188,ORD,ABE,6,995,105,1
CO,34,AUS,IAH,7,795,60,1
WN,348,BWI,SDF,4,1000,110,1
DL,1533,BDL,FLL,6,942,197,0
AA,59,JFK,SFO,4,420,405,0
UA,688,DSM,ORD,4,830,83,0
FL,865,ATL,MCO,1,530,91,0
FL,929,MCI,ATL,6,1043,117,1
XE,2580,CLE,MKE,1,520,83,0
OO,6705,ORD,TVC,2,486,62,1
WN,2853,BNA,DTW,4,1200,95,1
UA,432,ORD,CLT,1,809,113,0
CO,547,ORD,IAH,4,835,166,0
AA,1407,PHL,DFW,4,1080,240,1
WN,3761,BOI,SEA,7,1180,85,0
UA,62,SFO,SEA,1,1360,125,0
WN,1326,LAX,SJC,5,710,65,1
OO,7812,RKS,GCC,3,1259,70,1
WN,1209,DEN,PDX,5,570,175,1
FL,1150,IND,RSW,5,454,156,0
WN,535,ISP,MDW,1,390,155,0
OH,6697,CVG,FWA,4,810,51,0
OH,6319,RDU,BOS,6,975,120,1
9E,3658,HOU,ATL,5,655,124,0
MQ,3668,TYS,MIA,2,875,125,0
MQ,4064,ORD,CLE,1,815,80,0
MQ,3892,PHL,ORD,2,350,140,0
UA,153,ORD,SFO,1,1121,297,0
UA,249,IAD,ORD,3,1033,139,0
DL,1892,TPA,DTW,6,698,166,1
OH,6489,JFK,CVG,6,800,140,0
DL,2184,SLC,CVG,3,600,203,1
HA,265,OGG,HNL,4,1110,34,0
WN,2053,LAS,AUS,4,1155,155,1
DL,2068,LAX,MSP,7,410,218,1
WN,488,TUL,LAS,4,745,185,1
DL,2944,SAT,MSP,7,1078,164,1
WN,2198,BWI,SLC,7,820,305,1
WN,1657,DAL,MCI,5,625,85,1
XE,2695,IAH,BHM,1,930,94,1
WN,2887,LAX,SFO,1,395,80,0
WN,1715,OAK,LAX,7,790,70,1
OO,4479,SLC,LAS,4,1310,81,1
WN,1824,MDW,MSP,2,705,90,1
OO,6829,BFL,SFO,6,427,79,0
WN,1041,LAS,SMF,7,995,90,0
WN,170,LAS,PHX,4,875,70,1
EV,7078,IAD,ROC,3,755,73,1
EV,7127,HSV,IAD,1,1106,105,0
F9,455,LGA,MKE,2,1080,139,1
WN,3066,OAK,LAS,4,955,85,1
F9,652,DEN,MDW,3,1145,137,1
AA,543,PBI,ORD,3,410,195,0
B6,503,EWR,FLL,2,586,197,0
US,1085,CLT,MCO,4,885,102,0
OH,6340,MEM,CVG,6,505,92,1
MQ,4107,ORD,CMH,5,505,75,0
CO,1475,IAH,DFW,6,1270,59,0
US,1294,PHL,CLT,6,605,122,0
US,152,PHX,STL,5,1185,171,1
XE,2337,GSP,EWR,1,405,107,0
US,1632,CLT,LGA,6,1326,97,1
WN,1795,SNA,SJC,1,1275,75,1
XE,2974,IAH,MCI,1,630,113,0
OO,4686,SJC,SLC,2,790,110,1
DL,1657,ATL,CLE,1,1240,113,1
AA,1598,SEA,DFW,4,830,230,1
OO,3047,MKE,PIT,6,940,85,1
XE,2166,LEX,IAH,7,1067,156,1
HA,314,LIH,HNL,1,1116,30,0
WN,3814,MKE,MCO,4,530,170,0
WN,870,DAL,AUS,4,575,55,0
WN,110,PHX,RNO,7,855,110,1
US,733,CLT,MCO,4,1070,95,1
CO,241,IAH,AUS,4,780,53,1
WN,3133,TPA,FLL,5,985,60,0
MQ,3463,DFW,MTJ,2,715,125,0
